id_pergunta;texto_pergunta;tipo_pergunta;data_hr_registro
1;O professor demonstra domínio profundo sobre os temas abordados?;Fechada;2025-06-21 17:30:33.133
2;As aulas seguem um plano coerente com os objetivos da disciplina?;Fechada;2025-06-21 17:30:33.133
3;O professor relaciona o conteúdo com situações práticas ou atuais?;Fechada;2025-06-21 17:30:33.133
4;Utiliza métodos variados para facilitar o aprendizado?;Fechada;2025-06-21 17:30:33.133
5;O conteúdo é apresentado de forma clara e organizada?;Fechada;2025-06-21 17:30:33.133
6;As explicações ajudam a esclarecer dúvidas e conceitos difíceis?;Fechada;2025-06-21 17:30:33.133
7;Comunica-se com clareza oral e escrita?;Fechada;2025-06-21 17:30:33.133
8;Estimula a participação e o diálogo durante as aulas?;Fechada;2025-06-21 17:30:33.133
9;Responde às dúvidas com atenção e paciência?;Fechada;2025-06-21 17:30:33.133
10;Os critérios de avaliação são claros desde o início da disciplina?;Fechada;2025-06-21 17:30:33.133
11;As correções são feitas dentro de prazos razoáveis?;Fechada;2025-06-21 17:30:33.133
12;Oferece feedback construtivo que contribui para o aprendizado?;Fechada;2025-06-21 17:30:33.133
13;Trata todos os alunos com respeito e imparcialidade?;Fechada;2025-06-21 17:30:33.133
14;Mantém comportamento ético e profissional?;Fechada;2025-06-21 17:30:33.133
15;Está disponível para apoiar os alunos fora do horário de aula?;Fechada;2025-06-21 17:30:33.133
16;O que poderia ser melhorado na prática do docente?;Aberta;2025-06-21 17:30:33.150
17;O professor foi assíduo e pontual?;Fechada;2025-06-27 11:06:16.040
18;O professor forneceu atividades para exercitar o conteúdo abordado?;Fechada;2025-06-27 11:18:35.330
19;O professor teve postura adequada diante da diversidade sociocultural?;Fechada;2025-06-27 11:23:24.913
20;A relação professor aluno foi boa e favoreceu o processo de ensino-aprendizagem?;Fechada;2025-06-27 18:25:19.450
21;O professor se mostrou disponível para o atendimento aos/as estudantes fora do horário de aula?;Fechada;2025-06-27 18:31:38.363
