id_disciplina_docente;id_resposta
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;85
1;86
1;87
1;88
1;89
1;90
1;91
1;92
1;93
1;94
1;95
1;96
2;13
2;14
2;15
2;16
2;17
2;18
2;19
2;20
2;21
2;22
2;23
2;24
3;37
3;38
3;39
3;40
3;41
3;42
3;43
3;44
3;45
3;46
3;47
3;48
4;49
4;50
4;51
4;52
4;53
4;54
4;55
4;56
4;57
4;58
4;59
4;60
5;25
5;26
5;27
5;28
5;29
5;30
5;31
5;32
5;33
5;34
5;35
5;36
6;73
6;74
6;75
6;76
6;77
6;78
6;79
6;80
6;81
6;82
6;83
6;84
7;61
7;62
7;63
7;64
7;65
7;66
7;67
7;68
7;69
7;70
7;71
7;72
